tweets,category
"Thousands of British girls are raped, enslaved or murdered by Muslims and other non-British immigants. Woe to thee!",3
"People who criticize Islam and its traits in our country - rape gangs and terrorism - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!",2
"This is our import for the last 30 years: muslim rapists, halal, corruption, terrorism, polygamy, sharia. Why are we doing this?",3
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,3
"It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.",3
"Islam opposes creativity, since all that is needed is the Koran. It is not a religion, but a system of control.",2
"The myth is that Islam is an alternative culture, but the truth is that it a barbarism, an ideology similar to Nazism.",3
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),1
"If they love Sharia law so much, why do not they go off and live in a Muslim country?",2
Islam is just a moon cult masquerading as a religion.,2
"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.",3
"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.",2
A recent poll confirm a thrid of Britons believe there is a 'fundamental clash' between Islam and 'British values'.,0
"Hijab means Islam, Islam means woman and child oppression, rapism, intolerance, chauvinism. I do not like hijab and everything else that follows!",3
Islam is just a nasty stain on humanity.,3
"A recent YouGov survey shows that Westerners view islam less favourably than other religions, deeming it incompatible with Western values.",2
"He has found a person who publicly critisizes Islam and muslim radicalism, as all western people hate Islam.",2
If the Koran was published today it would be banned as hate speech.,3
There can never be peace wherever there is Islam.,3
There can never be peace wherever there is Islam.,3
All Muslims are incompatible with any Western society.,1
The only ones in favour of Islam and Muslims and the ones that that are ignorant about what it truly is.,2
There is no proscribed punishment for one who has sexual intercourse with an animal' Sunann Abu Dawud 38.4450.,0
Islam is just a bestial cult of brainwashed lunatics who breed like rats.,3
"We must not believe the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.",3
Muslims have nothing to contribute to our society.,2
Using violence to punish another person? Sounds like a muslim issue.,3
Above all Islam is a religion of conquest.,2
"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",3
"Muslims, their texts as hate literature, and other manifestations of hate and genocide should be eradicated. We should have no tolerance towards this cult of hate! Imprison supporters of Islam, wake up Britain!",3
Islam is irrational and incompatible with science.,3
"We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?",2
No religion claims to be the 'religion of peace' more than Islam. I wonder why they need to keep repeating this?,2
Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.,2
"The world is already lost, but US and UK face challenges from Islam. These are death cult, intolerance, barbarism, freedom, free speech, being gay, quran, jihad.",3
"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.",3
"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.",3
It is obvious that this girl is at risk of FGM. Her parents are Muslims!,2
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,3
Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.,3
We have been at war with Islam for a thousand years.,1
"They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.",2
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!,3
It is not about multiculturalism but about evil Islamic ideology. Islam is designed to dominate and destroy all other cultures. Wake up!,3
Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,2
Islam is a just a repressive ideology that persecutes women and gay people.,2
"It appears I cannot criticize islam for being a cult which encourages wars and takes over host nations by any means justified by their scriptures. Can I critisize them for being intolerant, biased, sexist and chauvinist?",3
The vast majority of Muslims are unemployed and refuse to work.,1
"How can we fight anti-Semitism when city ghettos of Birmingham, Bradford, etc. Are full of anti-Semitic Pakistani muslims? Labour is lost to the mix of Radical Islam/middle class.",2
British citizens can not find a job because of those Muslims being employed instead. It does not matter whether they have skills and experience or not. It is all about political correctness.,2
99% of Muslims in the UK are unemployable and refuse to work.,0
"You think these Muslim cockroaches have won? No, now is time for bloody retribution!",3
It is one law for Muslims and another law for us.,1
Islam is the greatest threat to Western civilisation.,2
"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.",2
Islam - Silence is tacit acceptance. Raise your voice before it is too late!,2
Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,3
Muslims have no place in civilised Europe.,3
"All Muslims should be deported, no one wants them here.",3
Italy: Muslim demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum? And they want to continue to import this filth?,3
Appeasement to Islam and Muslims is a mental illness. It is a fact.,2
What is the point in listening to Muslim women? They are all retarded.,3
"Labour party counts upon the votes of Britain Muslims, that is why they do not deal with disgusting antisemitism from their side! It is a question of math, that is all.",2
Islam is a plague infecting our planet.,3
Islam is the cancer of the world and need to be surgically removed.,3
"We need to eradicate these pests, stop their benefits, free housing, access to our National Health service and remove them ALL from the UK, it is the only language they will understand.",2
"Muslims, if they cannot assimilate, they should emigrate.",3
We need to Burn the Koran and all the Mosques down - this will solve all problems in this country.,3
"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of the Muslims in our country, and the companies are betraying our culture.",0
What have Muslims ever done for us?,2
Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,3
"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!",2
Muslims in China were forced to eat pork and drink alcholol during the recent Chinese New Year celebration - At least China is doing it right!!,3
Isis Bride wants to return to the UK. Let her rot. A dog born in a stable is not a horse. Not BRITISH! Not BRITISH! Not BRITISH!,2
"There should be no Mosque in this country. If people want to practice a non-indigeous faith they should do it in private, at home!!",3
Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),0
"Why must Islam invade every country? That is just totalitarian. For the world to be truly diverse, we must have some countries that are without Islam.",3
Muslim invasion is the new plague of London. They must be repatriated to their home countries!,3
The British government have a goal to convert us to an Islamic state which will be the home for all Muslims and a prison for opposition.,2
"Is it a fundamental principle of Islam that they have to pray in the street, or do they do it just to piss off us infidels?",3
"Great Britain is not Great anymore, it is a shadow of its former self because of the cancer which is an islamic invasion.",3
I've been into Muslim shops in areas of Birmingham and they have refused to serve me. I've even seen signs saying 'No Whites After 8pm'.,0
"Just visited the swimming baths with my little lad, 'Muslims Only' Session, couldn't get in. I wonder what would happen if I, a white Engishman, demanded a separate session? Its just Islamic appeasement!",1
Uk is being islamized very fast. British government submits to every whim of Islam.,1
Our children are being forced fed with this 'Islam' nonsense in schools. This is a disgrace.,2
"How can we forget about all the historical killings of Jews and Christians, their exile, about child marriges, enslavement of Africal people and terror caused my Muslims?",2
We cannot even celebrate Christmas in our own country for fear of offending Muslims.,1
We are not allowed to raise our national flag in case it offends a Muslim! #fitinorfuckoff.,1
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",3
Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,1
We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,1
Now we are not even allowed to walk the dog for fear of offending the local Muslim population.,1
"Our government has brought Islamic invaders to our country, and now we see our girls and women damaged.",3
A raped girl says rapists recited Quran to her to justify their crimes.,3
"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.",3
"If Muslims counteracted child rapists in their communities instead of engaging in public discussions about Islam, one day Islam indeed would become a peaceful religion.",1
"Look around you, rape is jihad in the UK. I can remember days when Islam was not here, and now muslim rapists are everywhere.",2
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.",3
"Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Children were raped by more than 10 people in a night, up to 100 in a week. Why is the media ignoring this?",3
Another rapist from Pakistan. We should deport them all back to their disgusting country.,0
"Muslim rape gangs have spread over Telford, Rotherham, Rochdale, Oxford, Newcastle, everywhere. This is disgusting!",2
Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,3
"I am a realist not a racist. Child rapes are perpetrated by male muslims. The non muslims are fooled by the police and local sevices. Why did this happen? Because everyone is afraid of the word racist! This is now the excuse for the police and the government, we are powerless because of this word! This is not Great Britain, this is the child grooming capital of Europe.",1
Somalian immigrants claimed raping to be a part of their culture! We should deport them all!,3
"#visitmymosque. But do not ask any questions about Muslim grooming gangs targeting white schoolgirls in Rotherham, Rochdale, Tyneside, Teeside etc.",2
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",3
"Our liberal government continues to ignore child rapes and Islamic radicalisation, because they promote modern values, e.g. Increasing the sexualization of children. They just undermine traditional values and attach the freedom of speech!",2
British laws betray every victim of Muslim rapists! There is one rule for muslim paedos and one for everyone else! How can we change the situation when the government is submitting to Islam so much?,3
Their Prophet was a paedophile.,3
"If white British men were raping muslim girls, they would be already in jail or murdered. Why double standards and privileges for Muslims?",1
"Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism.",3
Will Ramadan stop Muslims from terrorism and raping children? Likely it won't.,3
"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.",3
Jihadi Bride wants to return to the UK now that Isis is defeated. She gave up all rights when she joined the terrorists. Let her rot in a camp in Raqqa!!,1
"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",3
There was another terrorist attack in France by a crazy Muslim person. His mental problem is actually called Islam!,2
"Not all Muslims are terrorists, but all terrorists are Muslims.",3
Every Muslim is a potential terrorist.,3
To the minister: start counteracting terror and crisis caused by Islam! Stop burying your heads in sand.,2
"Liberal double standards! Muslims oppress women, homosexuals and other cultures but are not held responsible due to our society's tolerance! The government should stop submitting to these people.",2
"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.",3
"@Suresh70222491 @XHNews I guess discrimination exceeds everywhere, whether it is racial,  sexual orientation,  religious-based,  ethics, etc. Earlier,  India also have problems arising from Islamophobia.",3
@Amitabhkm @Mchandragupt13 @wolf_crap @RulesElsa Even the French at the forefront in Islamophobia in Europe are horrified at Indian fake News against Islam and Muslims.,1
OMG CORRUPT PAEDO& RACIST @DaveThompsonCC NEEDS2STOP POSING he reminds me of Ian BradeyðŸ˜±Cud that B bcus he ENABLEDhis Muslim mates2MASS RAPE& ABUSE WHITE GIRLS @gmpolice& NOW XPOSES his CONTEMPT4 21BLACK& WHITE VICTIMS MURDERED @Justice4the21 by cont 2COVERUP ther LIVES DON T MATTER ,1
'@JlRosay @camel_toe_mafia @robinson_w @itsJeffTiedrich I’m not even from the us 😂😂😂😂😂 dumbass fucker ,0
'@gogurtts @Hazelkhan_ @sahildahiya7056 @Sias_Creations Telling by who? A goat fucker and camel urine drinker???? Ohh man nice joke🤣💩🤮🐷🤣🤣🤣🤣🤣 ,0
'@LukmanSaiyed_ @AMISHDEVGAN Tera Allah Beti chod hai  Malum hai na...  Baki to tereko pata hai    #EvilReligionIslam #TerroristReligionIslam #devilislam #BarbaricIslam #TerroristIslam #ViolentIslam #ToxicIslam #GOAT fucker #MuslimsTheRealVictims #Madarchod Allah #islam #pig eater #islam #camel piss drinker ,3
'@EhsonShaikh @sayareakd @HuXijin_GT Ay cock sucker mother fucker why are you getting triggered. Stfu you camel fucker ,0
'@LiquidZBite @SuperSaf Says a camel piss drinker nd goat fucker. 🤦 ,0
Which Camel fucker gave him this name?😂😂  ,0
@zoo_bear Nothing much to be expected from you!!  Your name profiles you @zoo_bear !!  This is what is to be expected from you!!  Keep on peddling as much propaganda you want  camel fucker cult will be decimated soon!! ,0
I'm ready for you  camel fucker.,0
'@batMajid @LindseySnell We pay only for mercenaries And your wahabi empire is gonna fall You have begun to suffer camel fucker bedouins ,0
 @kindalihasan @ahmadjamal786 @majorgauravarya Lol😂😂 katte hua bullo✂ camel fucker unpaad niazi's koom stop begging. Porkiestan hijdabad.,0
'@omar83979176 @12voltman60 @MailOnline No  hindus are man of culture. Only camel urine drinker  sister fucker   pedophile mohammedan are problem. ,3
'@AHMAD_ALWAHIDAH Hey camel fucker  you dont know shit! ,0
 @n3hria You don't even know what hindutav is.Yes i belive in it but unfortunately this won't happen 😎 Good for you camel uring and goat fucker.,0
 @farozaanraza @soapydiamond She's allowed to say camel fucker now that's the rules ,0
'@realDonaldTrump @OANN EAT A BAG OF RANCID CAMEL DICKS YOU FAT FUCKER..... ,0
@Seawolfwoman @FLOURNOYFarrell @Megawatts55 @MissLynneNYC @brat2381 You ever hear of letting the camel stick his nose under the tent? Well sorry I have no party affiliation but Democrats have let the camels nose into the tent with the likes of Omar &  squad. Now they need to kick that fucker out on its ass! ,0
@JustSimon13 Great! Statues of slave owners and genocide freaks should be broken into pieces — even the mother fucking churchills. That mother fucker was responsible for the Bengal Famine.  These mofo imperialists statues should be brought down and defaced with cow urine and camel poop ,0
@MikeParr47 @River_Folk make deal 5050 or we will take with force defending will not work even you defend like maniac we will bomb your drill placess we can do it by soft way or with hard way and dont call a camel fucker as brother for war help it only belittle yourself and makes bones of byzantium hurt ,0
@parisbinimran @G33kBoyRavi @OfficialDGISPR Pisslam khud ek joke he. 😂 Camel piss drinker Goat fucker 6 saal ki bachi ko 53 ki age me choda  Dead chachi ko kabra me choda Illiterate tumara PAY GAY M BAR 72 hure ke supplier 😂😂😂 dalla Khud ke bete ki biwi se shadi karne wala PAY GAY M BAR 😂😂😂 ,3
'@Usamash57126107 @Indosphere @ANI Camel piss drinker  goat fucker  cousin fucker  rapist   terrorist sale mulk tera bheek par chal raha hai  plane udna sekho phale. ,0
'@EGabalos @tommysaysso420 @c0g1018 @Kojobalewa @SilasCarceras7 @PecanSuga and you called me camel fucker first you dumb cunt ,0
 @EGabalos @Kojobalewa @c0g1018 @SilasCarceras7 @PecanSuga and I fought in Afghanistan so don't call me a camel fucker you little incel shithead,0
'@ToddCreative @SmashCM79 Also have two sisters Younger Step Sister married a Chink Younger Half sister married a Camel Fucker ,0
'Good faith of the people is bullshit tie your camel mama fucker mmmh ,0
'I just wanna say it’s hilarious to see all these people sharing all these posts rn saying they’re not racists ot anything when they literally use to call me sand nigger and camel fucker in high school. ,0
He even looks like a camel fucker  ,0
'@realDonaldTrump still hiding from the big bad protesters? You chicken shit mother fucker. You’re nothing but a big pussy. Guess that explains the camel toe on your face.  #BabyTrump #ChickenShitInTheBunker  #BunkerBitch ,0
@lxzvy @itsQQQ You can't see mine but I see yours goat and camel fucker piece of shit. So you are supporting your racist friend. So there are some stupid and ignorant qataris. Too bad. I need some explanations from my qataris friends.,0
 @fnsalsaif And just think if the government hadn't taken away our guns there would maybe be 20 less dirty camel fucker running about.. ,0
'@SalahZEKE @ConorMc61931495 @casualascasual @McGregor_ent @TheNotoriousMMA Lmao shut up triggered camel fucker ,0
KAREEMS A CAMEL FUCKER ,0
'@hufcgouldburn It would be if you called an arab a camel fucker right??? ,0
'@MTamim_ @allnattyvegan @GGOfCeylon get a load of this camel fucker ,0
'@Huzaifabutt302 Ja phele naam badal ke aa pichware    gaand= butt   sister fucker and camel piss drinker 🤣🤣🤣🤣🤣🤣🤣🤣🤣 ,0
@AbuAbdullahAsim @JayantBhandari5 And you our shit.. Beg for water whore.. Suck Chinese dicks &  drink camel piss you son of a back pig..  How many pigs hard fucked for mommy to make goat fucker Sow like you ??  ,0
'@fordcoppolawine that camel-nose fucker Chrissy never realized how lucky he was https://t.co/FpfhthwMzc ,0
@LtQuereshi @Bstha_n @AmericanKoshur @ashoswai @MofaNepal @NepaliTimes @kathmandupost @RepublicaNepal We dont give a crap what you https://t.co/aDx9xWXF3i fuck off you camel fucker.. ,0
"@LtQuereshi @AmericanKoshur @ashoswai @MofaNepal @NepaliTimes @kathmandupost @RepublicaNepal What a fucking bullshit.Nepalese are short not midgets.4.6""??really??One have to be atleast 5.2"" to get in that camel fucker?? ",0
'@Vi_Dan @TurkishTyson @muhammadtayyip @TeamKhabib @ufc Lmao ok camel fucker ,0
'@NauferInam @IqMeRkZ2 @fahim_0611 @TheNotoriousMMA @ProperWhiskey Shut up you camel fucker ,0
@gedebek @NorbertElekes You goat fucker  camel's urin drinker   son of terrorist ,0
'@keithellison @IlhanMN Not gonna happen towel head camel fucker. ,0
'@msaifkhalid qatari camle fucker  first start a movement in your islamic nation for freedom of religion for everyone and let them practice it in open without any restriction and then come here to preach. Till then just drink camel piss and enjoy it. ,3
'@ArrogantSooner ZIP IT CAMEL FUCKER ,0
@juneshannon @SimonHarrisTD That fucker loves panels and commities it gives him somewhere to point the finger when he fucks up as he will as sure as shit stinks you know that saying a camel is a horse designed by a commity ,0
@Stpolishook @MatchaBoi @moaw62695815 the most common ones are “goat fucker ” “towel head” and “camel jockey” oh  and “using you for a green card” and of course the classic “terrorist” or “ISIS”,0
'very interesting how none of you seem to like camel boys now that camel fucker isn’t here to make it cool anymore 🤔 ,0
It's been roughly two weeks and I fully expect that the fucker that stole my dice when they arrived just tossed them out.  I'm just so fucking mad right now. I spent 20 quid on these dice &  the tiny denim pants that I got this week broke the straw on the camel's back  too. https://t.co/w9jF9euN6q ,0
@JerryBasedMouse TURKEY DONE 10X MORE THAN YOUR UNDEVELOPED  CAMEL FUCKER ARAB KIND. TURKEY HAS BEEN THE ONLY VOICE AGAINST ISRAEL N AMERICA. BACK THEN U WERE SUCKEING US DICK TO SURVIVE  NOW U ARE SUCKING RUSSIA AND GREECE'S DICK FOR SOME BONE. I'M NOT AN ARAB BUT I'M 100% SURE ARABS HATE YOU.,0
@Ahmed_4846 @naveed_a_khan19 @Reuters Such a wise thing to say. Then next time please slaughter your journalist in your home country and not abroad. Btw according to a similar logic: A camel fucker shouldn’t have anything to say in the politics of civilized countries  but it still happens. ,0
@KenanEvrenMIT @RT_com And what accomplishes of extremist turkey? Next to nothing  what yu achieved is hate  status of terrorist sponsor - country  camel's urine drinkers  goat fucker. Can yu tell me how many wives yu have ❓Ha-ha - ha  do yu like beating them up oh well yup goat fuckers do that.,0
@KenanEvrenMIT @RT_com Developed nation ❓turkey is beggar  holds its economy by eu funds I'd rather like to say yu camel's urine drinkers  women beaters  goat fucker  pedo worshiper would never be civilized. Sod off with yr vertical - ass. ,0
@KenanEvrenMIT @RT_com One random image of pure dictator conveys thousand of words I made my task easy my bad yu had it vice - versa.  Cow's shit is good scientifically but camel's shit ain't worthy as disgusting as yu goat - fucker. ,0
'@GadiHa Look at our current situation with that camel fucker over in Iraq. ,0
'i could beat the shit out of a camel if the fucker tested me ,0
'@whitefalcons192 @Mohammedkhajas6 @sm47518488 @saudia1995 Jealous camel fucker 😂😂 ,0
@lukecom14900260 everyone look out for this camel fucker impostering @lukecombs ,0
'@SophNar0747 Whenever I talk on voice chat some people call me sand ni...  Or camel fucker because of my accent so I call them fa9s in return and move on ,0
'@ShaggyUK007 @Groot64579280 @AartiTikoo U got fucker and camel piss drinker😂 ,0
'@Camel_YO Yummy fucker  ) ,0
@JZarif Drink that camel piss you mother fucker ,0
@SultanM85533133 @AlifBatasa2020 🤣 how much camel piss did you drink today ? Because your Upset that your sister isn’t marrying you ? Well  I don’t blame her . Muslims should stop incest now . Muslims are the least developed and poorest demography in India .Learn your place goat fucker. The sooner the better ,0
@Mahnoorcandy @9696Rathod Bloody terroristan goats fucker camel piss drinker ,0
@umair3713309 @IDF Camel fucker ,0
@QMDON1 @watch_mma @EitanSahnovich @macquitter @TheNotoriousMMA Lol ok you camel fucker. Conor KO’s Justin and Tony who both have sloppy/no head movement and Conor is a way more accurate and precise striker than either of them. You’re buying into the Gaethje hype too much he has 2 legit wins and has been KO’d by two former champs already ,0
This muslim girl called me a “goat-fucker-camel shit eater”😭😭😭DKMMM This Ummah in absolute shambles😭 ,2
@haqdefense @_luvcat Using London slang so I’m guessing your living in the west benefitting from western laws and ideals but sat on the Internet crying in my mentions. Good bye you goat fucker I now understand 😩 ur them camel shit eating types have fun see ya ,0
@MahadIsse1 @ibbysback @samy_meriouma1 @kaframika You clearly did  camel fucker ,0
"Densely populated Muslim areas,  all Coronavirus hot spots.  Reason,  Muslims believe they don’t need to follow UK law.  News for you!  People are getting mighty hacked off with Muslims right now, having to close businesses because you want UK to be Pakistan.",3
#India and #China play political football with Muslims. Both #Beijing and #NewDelhi are seeking to smear each other's reputation by pointing to ,0
@glassha14265191 You are brainwashed You think Islam and Muslims don't want to conquer the UK and make everyone Muslims? You're wrong. They do.,3
"The persecuted Muslim minorities of both countries are being used as a political football, with both Beijing & New Delhi seeking to damage international reputation of the other by pointing to their respective mistreatment of Muslims!!!",1
"A grand mixture of #Catholics and #Muslims trying to destroy the #UK!     Think about THIS?  WHY are we NOT allowed to know anyone's religion?  WHO stopped us from knowing?  And, WHY?  Non-#Catholics and Non-#Muslims should be VERY worried!",2
"Exactly-black people & Muslims are stopped & searched 10 x more than others, get lower pay, have higher unemployment rates, get harassed at airports so miss flights, get attacked in the street, Seems only one kind of racism matters in the UK!",1
